name; year; decade; crew; capacity; length; wingspan; wingarea; emptyweight; grossweight; maxspeed; cruisespeed; stallspeed; range; fuelcapacity; power
Raceair Skylite; 1991; 1990; one; UNKNOWN; 5.33; 8.9; 10.9; 109.0; 236.0; 52.0; 41.0; 23.0; 78.0; 19.0; 21.0
TL Ultralight TL-3000 Sirius; 2008; 2000; UNKNOWN; 2; 6.75; 9.4; 11.15; 297.0; UNKNOWN; 121.0; UNKNOWN; 35.0; 756.0; UNKNOWN; 59.6
Worldwide Ultralite Skyraider S/S; UNKNOWN; 1980; one; one passenger; UNKNOWN; 9.8; 15.0; 115.0; 308.0; 44.0; 35.0; 21.0; 91.0; 17.0; 30.0
Bell Sidewinder; UNKNOWN; 1980; one; UNKNOWN; 5.03; 9.14; 14.3; 113.0; 227.0; 52.0; 43.0; 23.0; UNKNOWN; 19.0; 28.0
Worldwide Ultralite Spitfire; UNKNOWN; 1980; one; UNKNOWN; 5.59; 9.14; 14.1; 115.0; 249.0; 55.0; 48.0; 17.0; 87.0; 19.0; 27.0
Jora Jora; UNKNOWN; 1990; UNKNOWN; two; 6.0; 10.6; 12.5; 225.0; UNKNOWN; 76.0; 65.0; 24.0; 304.0; UNKNOWN; 38.8
UL-Jih Fascination; 1996; 1990; UNKNOWN; two; 6.87; 9.0; 10.7; 297.0; UNKNOWN; UNKNOWN; 131.0; 35.0; 756.0; UNKNOWN; 59.6
UL-Jih Evolution; 2002; 2000; UNKNOWN; two; 6.98; 9.0; 10.76; 305.0; UNKNOWN; 157.0; 146.0; 35.0; 756.0; UNKNOWN; 73.5
Skye Treck Skyseeker; 1981; 1980; one; UNKNOWN; 3.7; 9.8; 15.0; 112.0; 225.0; 39.0; 35.0; 17.0; 156.0; 19.0; 21.0
TL Ultralight TL-32 Typhoon; 1991; 1990; UNKNOWN; 2; 5.9; 10.7; 15.2; 200.0; UNKNOWN; 59.0; 49.0; 24.0; 162.0; UNKNOWN; UNKNOWN
Eastern Ultralights Snoop; 1981; 1980; one; UNKNOWN; UNKNOWN; 10.0; 15.3; 108.0; 235.0; 48.0; 39.0; 16.0; 109.0; 19.0; 26.0
V-STOL Solution; 1998; 1990; one; UNKNOWN; UNKNOWN; 10.0; 17.0; 112.0; 226.0; UNKNOWN; 39.0; 19.0; UNKNOWN; UNKNOWN; 21.0
Star Flight Starfire; 1979; 1970; one; UNKNOWN; 4.6; 10.0; 15.3; 100.0; 213.0; 48.0; 33.0; 18.0; 52.0; 9.5; 22.0
Airmass Sunburst; UNKNOWN; 1980; one; UNKNOWN; 4.9; 11.0; 14.8; 115.0; 238.0; UNKNOWN; 30.0; 22.0; 87.0; 19.0; 22.0
Ultra-Fab Sundowner; 1983; 1980; one; UNKNOWN; UNKNOWN; 9.3; 13.6; 112.0; 227.0; 54.0; 43.0; 22.0; UNKNOWN; 17.0; 21.0
Swallow Aeroplane Company Swallow; UNKNOWN; 1980; one; UNKNOWN; 5.5; 10.44; 12.8; 132.0; 265.0; 61.0; 52.0; 24.0; 119.0; 14.0; 22.0
Teratorn T/A; UNKNOWN; 1970; one; UNKNOWN; UNKNOWN; 9.8; 15.0; 103.0; 227.0; 43.0; 39.0; 15.0; 61.0; 12.0; UNKNOWN
Thor T/A; 1985; 1980; one; UNKNOWN; 4.2; 9.86; 15.5; 108.0; 227.0; 55.0; 48.0; 19.0; UNKNOWN; 19.0; 21.0
Pinaire Ultra-Aire; UNKNOWN; 1980; one; UNKNOWN; 4.32; 7.9; 12.0; 114.0; 250.0; 55.0; 35.0; 19.0; UNKNOWN; 19.0; 26.0
Aerodyne Systems Vector; 1982; 1980; one; UNKNOWN; 5.5; 10.7; 14.3; 88.0; 202.0; UNKNOWN; 39.0; 23.0; 109.0; 19.0; 16.0
Greenwood Witch; 1982; 1980; one; UNKNOWN; 5.54; 9.1; 14.0; 112.0; 227.0; 55.0; 43.0; 23.0; UNKNOWN; 19.0; 16.0
Ultralite Soaring Wizard; UNKNOWN; 1970; one; UNKNOWN; 5.2; 9.86; 15.1; 76.0; 204.0; 36.0; 30.0; 15.0; UNKNOWN; 12.0; 11.0
Latécoère 225; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Chotia Woodhopper; 1978; 1970; one; UNKNOWN; 5.33; 9.75; 14.6; 66.0; 163.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 7.6; UNKNOWN
Diehl AeroNautical XTC Hydrolight; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 9.8; 14.4; 112.0; 227.0; 54.0; 43.0; 22.0; 104.0; 19.0; 19.0
Cloudbaser Trikes Cloudbaser; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; UNKNOWN; 17.2; 84.0; 261.0; UNKNOWN; 43.0; 24.0; UNKNOWN; 19.0; 30.0
LEAF Trike; UNKNOWN; 1980; one; UNKNOWN; 2.3; UNKNOWN; UNKNOWN; 68.0; 227.0; 39.0; 28.0; 21.0; UNKNOWN; 19.0; 26.0
J & J Ultralights Tukan; UNKNOWN; 1990; one; one passenger; 2.1; 11.0; 18.0; 113.0; 340.0; UNKNOWN; 35.0; 21.0; UNKNOWN; 19.0; 30.0
MFI BA-12 Sländan; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Mountaineer Trikes Mite-Lite; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; UNKNOWN; 19.0; 91.0; 204.0; UNKNOWN; 30.0; 20.0; UNKNOWN; 19.0; 21.0
Air Creation GT; UNKNOWN; 1990; one; one passenger; 2.4; 10.0; 16.5; 172.0; 450.0; UNKNOWN; 43.0; UNKNOWN; UNKNOWN; 57.0; 37.0
Antares MA-32; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.3; 15.5; 146.0; 250.0; 67.0; 35.0; 24.0; 174.0; UNKNOWN; 30.0
Apex Eco 6; UNKNOWN; 1980; one; UNKNOWN; 1.98; 9.6; 15.0; 32.0; 215.0; UNKNOWN; 30.0; UNKNOWN; 78.0; UNKNOWN; 37.0
Buckeye Eclipse; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; 15.5; 118.0; 454.0; UNKNOWN; 65.0; 23.0; UNKNOWN; 38.0; 48.0
GibboGear Butterfly; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 10.0; 22.0; 132.0; 299.0; UNKNOWN; 22.0; 17.0; UNKNOWN; 38.0; 30.0
Cosmos Samba; UNKNOWN; 1990; one; UNKNOWN; 1.8; 10.12; 14.1; 95.0; 204.0; 50.0; 39.0; 22.0; 70.0; UNKNOWN; 16.0
Cosmos Phase II; UNKNOWN; 1990; one; one passenger; 2.1; 10.0; 15.2; 136.0; 363.0; 70.0; 56.0; 24.0; 282.0; UNKNOWN; UNKNOWN
Cosmos Echo; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 9.87; 12.9; 126.0; 300.0; 84.0; 59.0; 22.0; 282.0; UNKNOWN; 37.0
Cosmos Bison; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.6; 19.0; 123.0; 400.0; 46.0; 32.0; 22.0; UNKNOWN; UNKNOWN; 30.0
Fletcher Hercules; UNKNOWN; 1990; one; one passenger; 2.7; 10.0; 18.0; 115.0; 272.0; UNKNOWN; 35.0; 24.0; 74.0; 19.0; 26.0
Airborne Edge; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.16; UNKNOWN; 185.0; 408.0; UNKNOWN; 48.0; 30.0; UNKNOWN; 48.0; 48.0
Airborne Outback; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.96; 17.6; 165.0; 401.0; 50.0; 36.0; 28.0; UNKNOWN; UNKNOWN; 48.0
Airborne Redback; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.96; 17.6; 165.0; 401.0; 50.0; 36.0; 24.0; UNKNOWN; UNKNOWN; 37.0
Airborne XT; 2003; 2000; one; one; UNKNOWN; 9.9; 15.0; 216.0; 450.0; 65.0; UNKNOWN; 30.0; UNKNOWN; UNKNOWN; 60.0
Ultimate Jetwing; 1981; 1980; one; UNKNOWN; UNKNOWN; UNKNOWN; 15.3; 98.0; 218.0; UNKNOWN; 30.0; 20.0; UNKNOWN; 19.0; UNKNOWN
LiteWing Aircraft LiteTrike; UNKNOWN; 1990; one; UNKNOWN; 2.4; 10.0; 19.0; 82.0; 200.0; UNKNOWN; 26.0; 13.0; 78.0; 19.0; 16.0
LiteWing Aircraft LiteWing; UNKNOWN; 1990; one; UNKNOWN; 2.59; 9.8; 15.0; 127.0; 272.0; UNKNOWN; 52.0; UNKNOWN; UNKNOWN; 23.0; 30.0
Mainair Blade; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.6; 15.6; 190.0; 390.0; 78.0; 57.0; 26.0; 220.0; UNKNOWN; 60.0
Mainair Rapier; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.6; 15.6; 152.0; 370.0; 73.0; 51.0; 27.0; 240.0; UNKNOWN; 37.0
Pegasus Quantum; 1996; 1990; one; one passenger; UNKNOWN; 10.4; 15.6; 204.0; 409.0; 78.0; 52.0; 33.0; UNKNOWN; UNKNOWN; 60.0
North Wing Maverick; UNKNOWN; 1990; one; UNKNOWN; 2.1; 9.6; 14.6; 114.0; 249.0; UNKNOWN; 39.0; UNKNOWN; UNKNOWN; 19.0; 30.0
North Wing ATF; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 10.6; UNKNOWN; 84.0; 249.0; 39.0; 26.0; 18.0; UNKNOWN; 19.0; 22.0
North Wing Apache; UNKNOWN; 1990; one; one passenger; 3.7; 9.6; 14.4; 181.0; 431.0; 65.0; 52.0; 26.0; 304.0; 45.0; 48.0
Pegasus Quik; 2003; 2000; one; one passenger; UNKNOWN; UNKNOWN; 10.6; 193.0; 409.0; 91.0; 71.0; 33.0; UNKNOWN; UNKNOWN; 75.0
Concept Prowler; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 10.0; 112.0; UNKNOWN; UNKNOWN; 50.0; 24.0; UNKNOWN; 19.0; 30.0
Aviate Raptor; 1992; 1990; one; one passenger; UNKNOWN; 10.5; 17.0; 163.0; 450.0; 63.0; 43.0; 28.0; UNKNOWN; UNKNOWN; 48.0
Medway Av8R; 2003; 2000; one; one passenger; UNKNOWN; 11.0; 15.0; UNKNOWN; 415.0; 70.0; 54.0; 26.0; UNKNOWN; UNKNOWN; 60.0
Medway EclipseR; UNKNOWN; 1990; one; one passenger; UNKNOWN; 11.0; 15.0; 208.0; 415.0; 70.0; 54.0; 26.0; UNKNOWN; UNKNOWN; 60.0
Sabre 340; 1991; 1990; one; UNKNOWN; 3.0; 10.0; 13.7; 98.0; 272.0; UNKNOWN; 43.0; 23.0; 104.0; 19.0; 22.0
Sabre Wildcat; UNKNOWN; 1990; one; one passenger; 4.0; 10.82; 16.4; 150.0; 401.0; 48.0; 40.0; 18.0; 217.0; 38.0; 48.0
World Seair Corp Seair; 1998; 1990; one; one passenger; 2.79; 10.06; 19.0; 114.0; 318.0; 48.0; UNKNOWN; UNKNOWN; 65.0; 19.0; 37.0
Y2Fly Seahawk; UNKNOWN; 1990; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
J & J Ultralights Seawing; UNKNOWN; 1990; one; one passenger; 3.7; 11.0; 18.0; 159.0; 363.0; 52.0; 30.0; 22.0; 70.0; 19.0; 37.0
Lookout Mountain SkyCycle; 1997; 1990; one; UNKNOWN; 4.6; 10.0; 20.9; 75.0; 211.0; 65.0; 35.0; 17.0; 104.0; 9.5; 16.0
Personal Flight Sky-Tender; UNKNOWN; 1990; one; one passenger; UNKNOWN; 9.75; 19.1; 172.0; 263.0; UNKNOWN; 48.0; UNKNOWN; UNKNOWN; 38.0; 48.0
Spartan DFS Trike; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 18.5; 96.0; 210.0; UNKNOWN; 30.0; UNKNOWN; UNKNOWN; 19.0; 21.0
Spartan DFD Aerotome; UNKNOWN; 1990; one; one passenger; 2.1; 11.0; 18.0; 112.0; 340.0; UNKNOWN; 38.0; UNKNOWN; UNKNOWN; 19.0; 37.0
Spartan DFS Paramotor; UNKNOWN; 1990; one; UNKNOWN; 1.8; 11.0; UNKNOWN; 31.0; 228.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 13.0; 21.0
Spartan BP Parawing; UNKNOWN; 1990; one; UNKNOWN; 1.2; 11.0; UNKNOWN; 22.0; 159.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 9.5; 21.0
TC's Trikes Coyote; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 16.0; 113.0; 363.0; UNKNOWN; 39.0; 17.0; UNKNOWN; 19.0; 30.0
Solo Wings Windlass; 1987; 1980; one; one passenger; UNKNOWN; 10.0; 15.3; 175.0; 356.0; UNKNOWN; 43.0; UNKNOWN; 174.0; 38.0; 37.0
Solo Wings Aquilla; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.0; 14.0; 152.0; 352.0; UNKNOWN; 54.0; UNKNOWN; UNKNOWN; 38.0; 37.0
Antonov T-2M Maverick; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; 15.1; 170.0; 352.0; UNKNOWN; 48.0; 24.0; UNKNOWN; UNKNOWN; 48.0
Pegasus Booster; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 19.0; UNKNOWN; UNKNOWN; 22.0; 12.0; UNKNOWN; 4.9; 10.0
Flylight Doodle Bug; 1999; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 21.0; UNKNOWN; UNKNOWN; 22.0; 12.0; UNKNOWN; 5.7; 10.0
Swedish Aerosport Mosquito; 1995; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 20.0; UNKNOWN; UNKNOWN; 22.0; 12.0; UNKNOWN; 5.7; 10.0
Aeros-2; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; 14.5; 229.5; 472.5; UNKNOWN; 49.0; 28.0; UNKNOWN; UNKNOWN; 60.0
Aeros Cross Country; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; 14.5; 222.0; 472.5; UNKNOWN; 49.0; 28.0; UNKNOWN; UNKNOWN; 60.0
Buckeye Eagle; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 41.81; 100.0; 249.0; 23.0; 23.0; UNKNOWN; UNKNOWN; 19.0; 30.0
Buckeye Dream Machine; 1985; 1980; one; one passenger; UNKNOWN; UNKNOWN; 46.0; 136.0; 363.0; 26.0; 23.0; UNKNOWN; UNKNOWN; 30.0; 37.0
Buckeye Falcon; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 24.0; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
Goodwin Buckshot; 1998; 1990; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; 104.0; UNKNOWN; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 51.0; 34.0
Canadian Phase I; UNKNOWN; 2000; one; one passenger; UNKNOWN; UNKNOWN; 46.0; 132.0; 363.0; UNKNOWN; 30.0; UNKNOWN; UNKNOWN; 38.0; 48.0
Emerald Coast XL2 Sport; 2000; 2000; one; one passenger; UNKNOWN; UNKNOWN; 51.0; 131.0; UNKNOWN; UNKNOWN; 24.0; UNKNOWN; UNKNOWN; 38.0; 37.0
Harmening High Flyer; UNKNOWN; 1980; one; optionally one passenger, if second seat fitted; 3.05; 12.0; 51.0; 127.0; 376.0; UNKNOWN; 23.0; UNKNOWN; UNKNOWN; 34.0; 48.0
Heldeberg Spirit 103; UNKNOWN; 1990; one; UNKNOWN; 2.59; 12.04; 37.0; 107.0; 263.0; UNKNOWN; 28.0; UNKNOWN; UNKNOWN; 19.0; 37.0
Heldeberg Marathon; UNKNOWN; 1990; one; one passenger; 2.95; 12.04; 46.0; 140.0; 386.0; UNKNOWN; 28.0; UNKNOWN; 100.0; 38.0; 48.0
Heldeberg Convertible; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; 46.0; 111.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 19.0; 37.0
Paladin Sparrow; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 34.0; 66.0; 170.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 19.0; 22.0
Paladin Golden Eagle; UNKNOWN; 1990; one; one passenger; 3.35; 10.82; 46.0; 154.0; 386.0; UNKNOWN; 24.0; UNKNOWN; UNKNOWN; 38.0; 48.0
Paladin Hercules; UNKNOWN; 1990; one; one passenger; 3.43; 10.82; 51.0; 179.0; 454.0; UNKNOWN; 24.0; UNKNOWN; UNKNOWN; 38.0; 82.0
Para-Ski XS; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; 60.9; 154.0; 372.0; UNKNOWN; 35.0; UNKNOWN; UNKNOWN; 34.0; 48.0
Para-Ski VX; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 51.6; 154.0; 313.0; UNKNOWN; 35.0; UNKNOWN; UNKNOWN; 34.0; 48.0
Powrachute Pegasus; 2000; 2000; one; one passenger; UNKNOWN; UNKNOWN; 46.0; 166.0; 363.0; UNKNOWN; 26.0; UNKNOWN; UNKNOWN; 38.0; 48.0
Tennessee Propellers Scout; 1999; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 37.0; 102.0; 220.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 19.0; 34.0
Sea-Bow International Sea-Bow; UNKNOWN; 1990; one; UNKNOWN; 3.05; UNKNOWN; 46.0; 154.0; 308.0; UNKNOWN; 26.0; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
Six Chuter SR1; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 42.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 19.0; 37.0
Six Chuter SR7; 1997; 1990; one; one passenger; 2.59; 12.04; 46.0; 136.0; 318.0; UNKNOWN; 23.0; UNKNOWN; 43.0; 38.0; 48.0
Sky Seeker Powerchutes Sky Seeker; 2000; 2000; one; one passenger; UNKNOWN; UNKNOWN; 46.0; 132.0; 318.0; UNKNOWN; 23.0; UNKNOWN; UNKNOWN; UNKNOWN; 37.0
Summit 2; 1999; 1990; one; one passenger; 3.15; UNKNOWN; 51.0; 141.0; 431.0; UNKNOWN; 23.0; UNKNOWN; UNKNOWN; 38.0; 48.0
Goodwin Tri-Moto; 1997; 1990; one; one passenger; UNKNOWN; UNKNOWN; 45.1; 93.0; 411.0; UNKNOWN; 23.0; UNKNOWN; UNKNOWN; 23.0; UNKNOWN
St Andrews Viking; 1998; 1990; one; one passenger; UNKNOWN; UNKNOWN; 48.0; 122.0; UNKNOWN; UNKNOWN; 26.0; UNKNOWN; UNKNOWN; 38.0; 37.0
Airframes Unlimited T-2; UNKNOWN; 1990; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Airframes Unlimited T-103; UNKNOWN; 1990; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Adventure F series; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 28.0; 22.0; UNKNOWN; UNKNOWN; 23.0; UNKNOWN; UNKNOWN; 9.5; 10.8
Fresh Breeze Solo; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; UNKNOWN; 27.0; 23.0; 126.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 7.6; 14.0
Fresh Breeze Paratour Twin; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 9.8; UNKNOWN
Fresh Breeze Twin; UNKNOWN; 1990; one; one passenger; UNKNOWN; UNKNOWN; UNKNOWN; 31.0; 191.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Fresh Breeze Simonini; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 23.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 15.5
Fresh Breeze Monster; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 33.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 21.0
Per Il Volo Miniplane; 1989; 1980; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 17.0; 113.0; UNKNOWN; 17.0; UNKNOWN; UNKNOWN; 7.6; 9.7
Daiichi Kosho Whisper; 1992; 1990; one; UNKNOWN; 0.61; 12.0; 30.0; 27.0; 136.0; UNKNOWN; 22.0; UNKNOWN; 17.0; 6.4; 16.0
Paraborne Backplane; 1999; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 32.0; 19.0; 118.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 11.0; 16.0
Phoenix Industries B1Z ParaFlyer; UNKNOWN; 1990; one; UNKNOWN; 0.46; 9.14; 29.3; 34.0; 138.0; UNKNOWN; 19.0; UNKNOWN; 26.0; 9.5; 16.0
Paramotor Inc FX series; UNKNOWN; 1990; one; UNKNOWN; 0.46; UNKNOWN; 28.0; 16.0; 84.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 4.7; 13.0
Fly Products Power; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 4.7; 13.0
Fly Products Gold; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 10.0; 42.0; 30.0; UNKNOWN; 26.0; 22.0; 8.0; UNKNOWN; 16.1; 21.0
La Mouette Skybike; UNKNOWN; 1990; one; UNKNOWN; 0.61; UNKNOWN; 30.0; 27.0; 127.0; UNKNOWN; 22.0; UNKNOWN; 43.0; 7.6; 13.0
Southern Skies Spymotor; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 27.0; 18.0; 100.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 7.6; 13.0
Southern Skies Quattro; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; 27.0; 20.0; 102.0; UNKNOWN; 22.0; UNKNOWN; UNKNOWN; 7.6; 10.0
Vortech G-1; UNKNOWN; 1970; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 68.0; 191.0; 70.0; 39.0; UNKNOWN; 52.0; 19.0; 30.0
Vortech Kestrel Jet; UNKNOWN; 1980; one; UNKNOWN; 3.66; UNKNOWN; UNKNOWN; 82.0; 200.0; 55.0; 39.0; UNKNOWN; 52.0; 38.0; UNKNOWN
A2 CZ Ellipse Spirit; 2011; 2010; one; one passenger; UNKNOWN; 8.0; 8.48; 272.5; 472.5; 151.0; 135.0; 32.0; UNKNOWN; UNKNOWN; 80.0
Aero & Tech Nexth; 2012; 2010; one; one passenger; UNKNOWN; 7.9; 9.23; UNKNOWN; 472.5; 148.0; 132.0; 35.0; 918.0; UNKNOWN; 75.0
Aéro Services Guépard Guêpe; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Aero Synergie Jodel D20; UNKNOWN; 1970; one; one passenger; UNKNOWN; 7.5; 10.5; 265.0; 472.5; 124.0; 111.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Aero Synergie J300 Joker; UNKNOWN; 1990; one; one passenger; UNKNOWN; 9.04; 15.6; 272.0; 472.5; 97.0; 76.0; 31.0; UNKNOWN; UNKNOWN; 75.0
Aero Synergie Papango; UNKNOWN; 1990; one; one passenger; UNKNOWN; 9.4; 15.3; 275.0; 472.5; 97.0; 81.0; 31.0; UNKNOWN; UNKNOWN; 75.0
Aero-Kros MP-02 Czajka; 2009; 2000; one; one passenger; UNKNOWN; 9.72; 10.2; 268.0; 472.5; 124.0; 92.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Aeroalcool Quasar; 2007; 2000; one; one passenger; UNKNOWN; 9.25; 9.2; 215.0; 589.0; 140.0; 103.0; 39.0; UNKNOWN; UNKNOWN; 45.0
AeroAndina MXP-158 Embera; UNKNOWN; UNKNOWN; one; one passenger; UNKNOWN; UNKNOWN; 11.7; 279.0; 472.5; 103.0; 94.0; 29.0; UNKNOWN; UNKNOWN; 60.0
Aerocomp VM-1 Esqual; UNKNOWN; 2000; one; one passenger; 6.08; 9.1; 9.0; 265.0; 450.0; UNKNOWN; 124.0; 33.0; UNKNOWN; UNKNOWN; 75.0
Aeroflying Sensation; 2007; 2000; one; one passenger; UNKNOWN; 8.4; 10.55; 278.0; 472.5; 121.0; 108.0; 31.0; 648.0; UNKNOWN; 60.0
AeroJames 01 Isatis; 2009; 2000; one; one passenger; UNKNOWN; 9.8; 12.0; 270.0; 472.5; 146.0; 124.0; 32.0; UNKNOWN; UNKNOWN; 75.0
Aeropilot Legend 540; 2011; 2010; one; one passenger; 7.0; 9.06; 10.54; 289.0; 472.5; 121.0; 113.0; 33.0; 702.0; UNKNOWN; 75.0
DAR Solo; 2008; 2000; one; UNKNOWN; UNKNOWN; 8.97; 10.76; 115.0; 220.0; 70.0; 54.0; 24.0; UNKNOWN; UNKNOWN; 21.0
DAR 21 Vector II; 2000; 2000; one; one passenger; 6.35; 9.42; 12.42; 250.0; 450.0; 108.0; 94.0; 31.0; UNKNOWN; UNKNOWN; 48.0
Aeros UL-2000 Flamingo; 2001; 2000; one; one passenger; UNKNOWN; 8.6; 10.5; UNKNOWN; 450.0; 130.0; 97.0; 33.0; UNKNOWN; UNKNOWN; 75.0
Aerosette MH-46 Eclipse; 2002; 2000; one; one passenger; 6.34; 9.71; 11.5; 285.0; 472.5; 135.0; 119.0; 35.0; UNKNOWN; UNKNOWN; 75.0
Aerospool WT9 Dynamic; UNKNOWN; 2000; one; one passenger; 6.4; 9.0; 10.35; 264.0; 450.0; UNKNOWN; 135.0; 35.0; 864.0; UNKNOWN; 75.0
Aerostar R40S Festival; UNKNOWN; 1990; one; one passenger; 6.74; 9.17; 13.97; 354.0; 535.0; 94.0; 81.0; 36.0; 432.0; UNKNOWN; 75.0
Airflow Twinbee; 2010; 2010; one; one passenger; 6.4; 9.33; 14.2; 260.0; 450.0; 83.0; 71.0; 27.0; UNKNOWN; UNKNOWN; 63.0
Airkraft Sunny; UNKNOWN; 1980; one; one passenger; UNKNOWN; 7.0; 17.0; 220.0; 450.0; 78.0; 54.0; 30.0; UNKNOWN; UNKNOWN; 48.0
